,author,location,language,friends,followers,statuses,date,message,tweet_id,polarity,subjectivity,sentiment,text
0,AndyBiotech,,None,755,80205,9956,2020-11-16T14:25:34,"While Trump will undoubtedly claim credit for #COVID19 vaccine, this achievement is built on decades of research an",1328343457778249736,0.1909,0.0,neutral,"While Trump will undoubtedly claim credit for  vaccine, this achievement is built on decades of research an"
1,AndyBiotech,,None,755,80205,9956,2020-11-16T13:23:42,Two vaccines w/ 90% efficacy!  The unprecedented speed for vaccine dev is one of the very few bright spots in US r,1328327887771086848,0.4422333333333333,0.61,positive,Two vaccines w/ 90% efficacy!  The unprecedented speed for vaccine dev is one of the very few bright spots in US r
2,AndyBiotech,,None,755,80205,9956,2020-11-09T13:06:59,"#SARSCoV2 sequence first published in January.  In 10 months, we have 1st #COVID19 vaccine w/ 90% efficacy in a l",1325786965254545408,0.3544,0.3333333333333333,positive,"sequence first published in January.  In 10 months, we have 1st  vaccine w/ 90% efficacy in a l"
3,AndyBiotech,,None,755,80205,9956,2020-09-12T15:16:31,#COVID19 $PFE $BNTX upsize their Ph3 vaccine trial from 30K to 44K participants  Is this decision based on first in,1304801070124879873,0.125,0.3333333333333333,neutral,$PFE $BNTX upsize their Ph3 vaccine trial from 30K to 44K participants  Is this decision based on first in
4,AndyBiotech,,None,755,80205,9956,2020-09-10T12:20:30,The whole world is watching because this #COVID19 vaccine may be used by billions of people.  2 clinical holds trig,1304031998558834690,0.1,0.4,neutral,The whole world is watching because this  vaccine may be used by billions of people.  2 clinical holds trig
5,AndyBiotech,,None,755,80205,9956,2020-09-09T16:21:14,#COVID19 So $AZN/Oxford vaccine trial both clinical holds appear due to concerns of transverse myelitis  1st case i,1303730191936761860,-0.0625,0.375,neutral,So $AZN/Oxford vaccine trial both clinical holds appear due to concerns of transverse myelitis  1st case i
6,AndyBiotech,,None,755,80205,9956,2020-09-09T11:46:30,Apparently this is 2nd time that $AZN/Oxford #COVID19 vaccine trial has been paused according to volunteer info she,1303661053159632897,0.0125,0.175,neutral,Apparently this is 2nd time that $AZN/Oxford  vaccine trial has been paused according to volunteer info she
7,AndyBiotech,,None,755,80205,9956,2020-09-09T00:09:07,"#COVID19 So according to NYTimes, the serious adverse event that caused the clinical hold in $AZN/Oxford vaccine tr",1303485548804308993,-0.3774166666666666,0.6666666666666666,negative,"So according to NYTimes, the serious adverse event that caused the clinical hold in $AZN/Oxford vaccine tr"
8,AndyBiotech,,None,755,80205,9956,2020-08-30T12:31:40,"FDA head @SteveFDA says his agency is prepared to authorize a #COVID19 vaccine before Ph3 trials are complete, as l",1300048540991922177,0.3497,0.4,positive,"FDA head  says his agency is prepared to authorize a  vaccine before Ph3 trials are complete, as l"
9,AndyBiotech,,None,755,80205,9956,2020-08-27T00:24:58,"As of today, both $PFE $BNTX and $MRNA #COVID19 vaccine Ph3 trials have enrolled 50% for 30K target in 4wks and sh",1298778496316170241,0.0,0.0,neutral,"As of today, both $PFE $BNTX and $MRNA  vaccine Ph3 trials have enrolled 50% for 30K target in 4wks and sh"
10,AndyBiotech,,None,755,80205,9956,2020-08-23T17:32:42,Here we go...  Trump administration considers fast-tracking $AZN/Oxford #COVID19 vaccine for “emergency use authori,1297587581811654657,0.0,0.0,neutral,Here we go...  Trump administration considers fast-tracking $AZN/Oxford  vaccine for “emergency use authori
11,AndyBiotech,,None,755,80205,9956,2020-08-22T14:47:32,"Another day, another insane conspiracy theory...  The trial recruitment speed for #COVID19 vaccine trials are proba",1297183629534167042,-0.86345,1.0,negative,"Another day, another insane conspiracy theory...  The trial recruitment speed for  vaccine trials are proba"
12,AndyBiotech,,None,755,80205,9956,2020-08-21T00:45:51,"#COVID19 Ph3 trial enrollment for leading vaccines  $PFE $BNTX 11,000 enrolled in ~3wks for 30K target per @pfizer",1296609425000669186,0.0,0.0,neutral,"Ph3 trial enrollment for leading vaccines  $PFE $BNTX 11,000 enrolled in ~3wks for 30K target per"
13,AndyBiotech,,None,755,80205,9956,2020-08-11T22:54:47,US gvnt #COVID19 vaccine contract  $MRNA $955M dev cost + $1.5B for 100M doses: ~$25/dose  $SNY $GSK $2.1B dev cost,1293319982089216002,0.0,0.0,neutral,US gvnt  vaccine contract  $MRNA $955M dev cost + $1.5B for 100M doses: ~$25/dose  $SNY $GSK $2.1B dev cost
14,AndyBiotech,,None,755,80205,9956,2020-08-07T12:42:00,One potential scenario for fastest #COVID19 vaccine timeline that I haven't seen many talked about.   What if $AZN/,1291716222057246720,0.125,0.75,neutral,One potential scenario for fastest  vaccine timeline that I haven't seen many talked about.   What if $AZN/
