,author,location,language,friends,followers,statuses,date,dateint,message,tweet_id,polarity,subjectivity,sentiment,text
0,AndyBiotech,,None,750,80369,9956,2020-12-15T13:24:25,20201215132425,Bell’s palsy (facial paralysis) is probably the most significant adverse event that should be closely monitored in real-world pharmacovigilance for these two #COVID19 mRNA vaccines:  $PFE $BNTX:  4 in vaccine arm vs. 0 in placebo arm  $MRNA:  3 in vaccine arm vs. 1 in placebo arm,1338837318732574721,0.084775,0.59375,neutral,Bell’s palsy (facial paralysis) is probably the most significant adverse event that should be closely monitored in real-world pharmacovigilance for these two  mRNA vaccines:  $PFE $BNTX:  4 in vaccine arm vs. 0 in placebo arm  $MRNA:  3 in vaccine arm vs. 1 in placebo arm
1,AndyBiotech,,None,750,80369,9956,2020-11-16T14:25:34,20201116142534,"While Trump will undoubtedly claim credit for #COVID19 vaccine, this achievement is built on decades of research and most credit should go to the scientists.  The real test on Operation Warp Speed will be distribution of vaccines, hopefully smoother than this transition of power.",1328343457778249736,0.5758,0.4,positive,"While Trump will undoubtedly claim credit for  vaccine, this achievement is built on decades of research and most credit should go to the scientists.  The real test on Operation Warp Speed will be distribution of vaccines, hopefully smoother than this transition of power."
2,AndyBiotech,,None,750,80369,9956,2020-11-16T13:23:42,20201116132342,"Two vaccines w/ 90% efficacy!  The unprecedented speed for vaccine dev is one of the very few bright spots in US response to #COVID19.  Now let's make sure these vaccines will be implemented quickly after proper reg review process.  ""Vaccines don't save lives—vaccinations do.”",1328327887771086848,0.3981111111111111,0.5531481481481482,positive,"Two vaccines w/ 90% efficacy!  The unprecedented speed for vaccine dev is one of the very few bright spots in US response to   Now let's make sure these vaccines will be implemented quickly after proper reg review process.  ""Vaccines don't save lives—vaccinations do.”"
3,AndyBiotech,,None,750,80369,9956,2020-11-09T13:06:59,20201109130659,"#SARSCoV2 sequence first published in January.  In 10 months, we have 1st #COVID19 vaccine w/ 90% efficacy in a large Ph3 trial.  This is truly unprecedented in vaccine development and thanks to everyone who worked tirelessly to make it happen. #Biotech innovation at its best!",1325786965254545408,0.6848285714285713,0.43238095238095237,positive,"sequence first published in January.  In 10 months, we have 1st  vaccine w/ 90% efficacy in a large Ph3 trial.  This is truly unprecedented in vaccine development and thanks to everyone who worked tirelessly to make it happen.  innovation at its best!"
4,AndyBiotech,,None,750,80369,9956,2020-09-12T15:16:31,20200912151631,#COVID19 $PFE $BNTX upsize their Ph3 vaccine trial from 30K to 44K participants  Is this decision based on first interim analysis after 32 events?  Does it imply current infection rate in the trial lower than expected?,1304801070124879873,-0.1618,0.37777777777777777,neutral,$PFE $BNTX upsize their Ph3 vaccine trial from 30K to 44K participants  Is this decision based on first interim analysis after 32 events?  Does it imply current infection rate in the trial lower than expected?
5,AndyBiotech,,None,750,80369,9956,2020-09-10T12:20:30,20200910122030,The whole world is watching because this #COVID19 vaccine may be used by billions of people.  2 clinical holds triggered by 2 similar neurological SAEs in one trial is not that common.  This deserves a careful investigation and @astrazeneca should disclose the findings to public.,1304031998558834690,0.05655000000000001,0.47333333333333333,neutral,The whole world is watching because this  vaccine may be used by billions of people.  2 clinical holds triggered by 2 similar neurological SAEs in one trial is not that common.  This deserves a careful investigation and  should disclose the findings to public.
6,AndyBiotech,,None,750,80369,9956,2020-09-09T16:21:14,20200909162114,"#COVID19 So $AZN/Oxford vaccine trial both clinical holds appear due to concerns of transverse myelitis  1st case in July had symptoms of TM, later diagnosed w multiple sclerosis per STAT, deemed unrelated  2nd case this wk had symptoms of TM, diagnosis not been confirmed yet",1303730191936761860,0.027500000000000004,0.275,neutral,"So $AZN/Oxford vaccine trial both clinical holds appear due to concerns of transverse myelitis  1st case in July had symptoms of TM, later diagnosed w multiple sclerosis per STAT, deemed unrelated  2nd case this wk had symptoms of TM, diagnosis not been confirmed yet"
7,AndyBiotech,,None,750,80369,9956,2020-09-09T11:46:30,20200909114630,Apparently this is 2nd time that $AZN/Oxford #COVID19 vaccine trial has been paused according to volunteer info sheet   Another participant previously developed transverse myelitis but was deemed unrelated to the vaccine per Nature,1303661053159632897,0.025000000000000005,0.21666666666666665,neutral,Apparently this is 2nd time that $AZN/Oxford  vaccine trial has been paused according to volunteer info sheet   Another participant previously developed transverse myelitis but was deemed unrelated to the vaccine per Nature
8,AndyBiotech,,None,750,80369,9956,2020-09-09T00:09:07,20200909000907,"#COVID19 So according to NYTimes, the serious adverse event that caused the clinical hold in $AZN/Oxford vaccine trial is transverse myelitis, an inflammation of the spinal cord that may cause varying degree of neural injuries.",1303485548804308993,-0.3774166666666666,0.6666666666666666,negative,"So according to NYTimes, the serious adverse event that caused the clinical hold in $AZN/Oxford vaccine trial is transverse myelitis, an inflammation of the spinal cord that may cause varying degree of neural injuries."
9,AndyBiotech,,None,750,80369,9956,2020-08-30T15:09:50,20200830150950,"Importantly, @SteveFDA's stance seem at odds with FDA's own guidance, which made it very clear that ""Issuance of an EUA for a #COVID19 vaccine prior to the completion of large randomized clinical efficacy trials could reduce the ability to demonstrate effectiveness""",1300088343829581825,0.5131285714285714,0.5853809523809523,positive,"Importantly,  stance seem at odds with FDA's own guidance, which made it very clear that ""Issuance of an EUA for a  vaccine prior to the completion of large randomized clinical efficacy trials could reduce the ability to demonstrate effectiveness"""
10,AndyBiotech,,None,750,80369,9956,2020-08-30T12:31:40,20200830123140,"FDA head @SteveFDA says his agency is prepared to authorize a #COVID19 vaccine before Ph3 trials are complete, as long as officials believe the benefits outweigh the risk.  ""But he insisted he would not rush a vaccine to please the president"" 🤣",1300048540991922177,0.43155,0.4,positive,"FDA head  says his agency is prepared to authorize a  vaccine before Ph3 trials are complete, as long as officials believe the benefits outweigh the risk.  ""But he insisted he would not rush a vaccine to please the president"" 🤣"
11,AndyBiotech,,None,750,80369,9956,2020-08-27T00:24:58,20200827002458,"As of today, both $PFE $BNTX and $MRNA #COVID19 vaccine Ph3 trials have enrolled 50% for 30K target in 4wks and should complete enrollment mid Sep at current pace.  Protocol difference makes $PFE ~2wk ahead Time b/t two doses: 3wk vs 4wk Event counting after 2nd dose: 1wk vs 2wk",1298778496316170241,0.0125,0.2,neutral,"As of today, both $PFE $BNTX and $MRNA  vaccine Ph3 trials have enrolled 50% for 30K target in 4wks and should complete enrollment mid Sep at current pace.  Protocol difference makes $PFE ~2wk ahead Time b/t two doses: 3wk vs 4wk Event counting after 2nd dose: 1wk vs 2wk"
12,AndyBiotech,,None,750,80369,9956,2020-08-23T18:40:03,20200823184003,Unfortunately the series of events around convalescent plasma EUA only shows how FDA leadership bends to political pressure again...  It further hurt its credibility at a time when we need them the most ahead of #COVID19 vaccine approvals.,1297604533288423424,-0.3953,0.62,neutral,Unfortunately the series of events around convalescent plasma EUA only shows how FDA leadership bends to political pressure again...  It further hurt its credibility at a time when we need them the most ahead of  vaccine approvals.
13,AndyBiotech,,None,750,80369,9956,2020-08-23T17:32:42,20200823173242,Here we go...  Trump administration considers fast-tracking $AZN/Oxford #COVID19 vaccine for “emergency use authorization” in America ahead of the presidential election based on the results from a relatively small UK study if it is successful,1297587581811654657,0.41795,0.675,positive,Here we go...  Trump administration considers fast-tracking $AZN/Oxford  vaccine for “emergency use authorization” in America ahead of the presidential election based on the results from a relatively small UK study if it is successful
14,AndyBiotech,,None,750,80369,9956,2020-08-22T14:47:32,20200822144732,"Another day, another insane conspiracy theory...  The trial recruitment speed for #COVID19 vaccine trials are probably the fastest in modern medicine history:  $MRNA has enrolled 13,194 participants in ~3wks  $PFE $BNTX has enrolled 11,000 participants in ~3wks",1297183629534167042,-0.56345,0.65,negative,"Another day, another insane conspiracy theory...  The trial recruitment speed for  vaccine trials are probably the fastest in modern medicine history:  $MRNA has enrolled 13,194 participants in ~3wks  $PFE $BNTX has enrolled 11,000 participants in ~3wks"
15,AndyBiotech,,None,750,80369,9956,2020-08-11T22:54:47,20200811225447,US gvnt #COVID19 vaccine contract  $MRNA $955M dev cost + $1.5B for 100M doses: ~$25/dose  $SNY $GSK $2.1B dev cost + 100M: $21/dose  $PFE $BNTX $1.95B for 100M: $19.50/dose  $NVAX $1.6B dev cost + 100M: $16/dose  $JNJ $1B for 100M: $10/dose  $AZN $1.2B dev cost+ 300M: $4/dose,1293319982089216002,0.0,0.0,neutral,US gvnt  vaccine contract  $MRNA $955M dev cost + $1.5B for 100M doses: ~$25/dose  $SNY $GSK $2.1B dev cost + 100M: $21/dose  $PFE $BNTX $1.95B for 100M: $19.50/dose  $NVAX $1.6B dev cost + 100M: $16/dose  $JNJ $1B for 100M: $10/dose  $AZN $1.2B dev cost+ 300M: $4/dose
16,AndyBiotech,,None,750,80369,9956,2020-08-07T12:42:00,20200807124200,"One potential scenario for fastest #COVID19 vaccine timeline that I haven't seen many talked about.   What if $AZN/Oxford N~10,000 Ph2/3 UK trial hits the bar of 50% vaccine efficacy? How will people feel about FDA granting EUA based on that ex-US trial?",1291716222057246720,0.32194999999999996,0.75,positive,"One potential scenario for fastest  vaccine timeline that I haven't seen many talked about.   What if $AZN/Oxford N~10,000 Ph2/3 UK trial hits the bar of 50% vaccine efficacy? How will people feel about FDA granting EUA based on that ex-US trial?"
17,AndyBiotech,,None,750,80369,9956,2020-08-06T14:11:43,20200806141143,"Two headlines out of Reuters this morning on #COVID19 vaccine timing 👀  U.S. PRESIDENT TRUMP SAYS CORONAVIRUS VACCINE POSSIBLE AROUND NOV. 3, ELECTION DAY  FAUCI SAYS REGULATORS PROMISE POLITICS WILL NOT GUIDE VACCINE TIMING",1291376409907167234,0.2324,1.0,neutral,"Two headlines out of Reuters this morning on  vaccine timing 👀  U.S. PRESIDENT TRUMP SAYS CORONAVIRUS VACCINE POSSIBLE AROUND NOV. 3, ELECTION DAY  FAUCI SAYS REGULATORS PROMISE POLITICS WILL NOT GUIDE VACCINE TIMING"
18,AndyBiotech,,None,750,80369,9956,2020-08-05T23:20:07,20200805232007,"Instead of trying to get a cut from Tiktok deal, there is a stronger case to be made for US gvmt to get royalties on $MRNA #COVID19 vaccine sales for a program funded by taxpayer money w/ IP co-owned by @NIH. The money can be invested for more innovation on pandemic preparedness.",1291152031512698880,0.5127999999999999,0.5,positive,"Instead of trying to get a cut from Tiktok deal, there is a stronger case to be made for US gvmt to get royalties on $MRNA  vaccine sales for a program funded by taxpayer money w/ IP co-owned by  The money can be invested for more innovation on pandemic preparedness."
19,AndyBiotech,,None,750,80369,9956,2020-08-05T14:14:08,20200805141408,"Before all scream ""best-in-class"", $NVAX data only makes me wanna wait a bit more for $SNY $GSK #COVID19 vaccine.  Do you want a vaccine from a platform never produced approved vaccine before or a proven platform/adjuvant with large safety database of millions of people already?",1291014632405172225,0.002047619047619048,0.6428571428571429,neutral,"Before all scream ""best-in-class"", $NVAX data only makes me wanna wait a bit more for $SNY $GSK  vaccine.  Do you want a vaccine from a platform never produced approved vaccine before or a proven platform/adjuvant with large safety database of millions of people already?"
20,AndyBiotech,,None,750,80369,9956,2020-08-03T23:31:15,20200803233115,"#COVID19 REGN-COV2 shows efficacy as measured by reduced viral load in both upper and lower airways, reduced virus induced pathology  ""The ability of REGN-COV2 to almost completely block detection of sgRNA matches or exceeds the effects recently shown in vaccine efficacy studies""",1290430056117010432,-0.19548333333333334,0.21666666666666667,neutral,"REGN-COV2 shows efficacy as measured by reduced viral load in both upper and lower airways, reduced virus induced pathology  ""The ability of REGN-COV2 to almost completely block detection of sgRNA matches or exceeds the effects recently shown in vaccine efficacy studies"""
